City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
215,Inirida,CO,3.8653,-67.9239,84.4,77,62,1.81,broken clouds
216,Bandarbeyla,SO,9.4942,50.8122,81.61,87,97,15.39,overcast clouds
217,Nabire,ID,-3.3667,135.4833,75.15,90,98,3.06,overcast clouds
218,Kushima,JP,31.4583,131.2333,72.23,97,100,2.17,overcast clouds
219,Narsaq,GL,60.9167,-46.05,35.62,88,100,0.94,overcast clouds
220,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,75,13.8,broken clouds
221,Acapulco,MX,16.8634,-99.8901,89.53,58,23,12.59,few clouds
222,Iqaluit,CA,63.7506,-68.5145,24.53,73,40,19.57,scattered clouds
223,Balkanabat,TM,39.5108,54.3671,64.89,55,20,9.64,few clouds
224,Santa Cruz,BO,-17.8,-63.1667,80.82,48,5,5.03,clear sky
225,Souillac,MU,-20.5167,57.5167,74.48,83,83,9.13,broken clouds
226,Macas,EC,-2.3167,-78.1167,71.35,88,75,5.75,light rain
227,Touros,BR,-5.1989,-35.4608,79.32,82,29,11.86,scattered clouds
228,Langxiang,CN,46.95,128.8833,36.41,53,8,2.59,clear sky
229,Cabo San Lucas,MX,22.8909,-109.9124,95.61,51,17,6.17,few clouds
230,Samarinda,ID,-0.5,117.15,75.15,98,100,1.99,overcast clouds
231,Tiznit,MA,29.5833,-9.5,67.41,63,0,4.21,clear sky
232,Mackay,AU,-21.15,149.2,67.68,90,37,6.71,scattered clouds
233,Irece,BR,-11.3042,-41.8558,81.19,38,61,9.98,broken clouds
234,Kyakhta,RU,50.3508,106.4494,38.93,52,4,6.11,clear sky
235,Bengkulu,ID,-3.8004,102.2655,75.83,87,100,2.73,overcast clouds
236,Batticaloa,LK,7.7102,81.6924,81.34,71,98,1.32,overcast clouds
237,Srednekolymsk,RU,67.45,153.6833,33.98,93,7,6.93,clear sky
238,Airai,TL,-8.9266,125.4092,59.5,91,73,1.19,broken clouds
239,Najran,SA,17.4924,44.1277,78.13,17,0,2.95,clear sky
240,Saint-Pierre,RE,-21.3393,55.4781,70.92,78,20,8.05,few clouds
241,Khilok,RU,51.3674,110.4676,31.82,77,46,3.18,scattered clouds
242,Dukat,RU,62.55,155.55,31.69,76,12,4.54,few clouds
243,Jadu,LY,31.953,12.0261,56.68,56,0,6.38,clear sky
244,Havre,FR,49.5833,0.3333,53.37,82,0,11.5,clear sky
245,Shenjiamen,CN,29.9576,122.298,62.47,97,100,13.47,overcast clouds
246,Maldonado,UY,-34.6667,-54.9167,56.23,75,6,4.92,clear sky
247,Pallasovka,RU,50.05,46.8833,53.62,86,100,8.63,overcast clouds
248,Dubai,AE,25.2582,55.3047,82.33,61,0,9.22,clear sky
249,Muros,ES,42.7762,-9.0603,63.09,80,100,9.4,overcast clouds
250,Vardo,NO,70.3705,31.1107,33.78,86,59,9.22,broken clouds
251,Cherskiy,RU,68.75,161.3,31.91,89,94,11.68,overcast clouds
252,Liwale,TZ,-9.7667,37.9333,69.62,71,45,4.12,scattered clouds
253,Bakchar,RU,57.0186,82.0711,48.18,53,83,2.62,broken clouds
254,Burnie,AU,-41.0667,145.9167,52.95,88,77,3.67,broken clouds
255,Port Hardy,CA,50.6996,-127.4199,45.72,73,46,0.85,light rain
256,Lagoa,PT,39.05,-27.9833,60.17,69,88,12.97,overcast clouds
257,Kathu,TH,7.9178,98.3332,85.75,87,96,12.08,overcast clouds
258,Jijiang,CN,29.2906,106.2542,72.5,81,92,3.0,overcast clouds
259,Mount Gambier,AU,-37.8333,140.7667,56.37,88,100,3.24,overcast clouds
260,Atikokan,CA,48.7555,-91.6216,66.52,69,100,9.75,overcast clouds
261,Khartoum,SD,15.5518,32.5324,102.02,12,0,1.01,clear sky
262,Ust-Kuyga,RU,70.0167,135.6,30.4,98,100,4.81,snow
263,Aparecida Do Taboado,BR,-20.0867,-51.0936,76.15,53,27,4.97,scattered clouds
264,Malatya,TR,38.5,38.0,48.25,40,0,4.61,clear sky
265,Hattiesburg,US,31.3271,-89.2903,93.52,52,40,6.91,scattered clouds
266,Kirakira,SB,-10.4544,161.9205,80.71,79,98,1.77,overcast clouds
267,Bambous Virieux,MU,-20.3428,57.7575,73.22,85,28,10.36,light rain
268,Zeya,RU,53.75,127.2667,37.2,88,100,2.19,overcast clouds
269,Pekan,MY,3.4836,103.3996,76.96,92,100,2.98,overcast clouds
270,Cidreira,BR,-30.1811,-50.2056,59.7,79,14,8.95,few clouds
271,Geraldton,AU,-28.7667,114.6,55.81,88,100,5.75,overcast clouds
272,Damietta,EG,31.4165,31.8133,67.28,65,25,9.24,scattered clouds
273,Mankono,CI,8.0586,-6.1897,80.22,71,84,6.42,light rain
274,Novo Horizonte,BR,-21.4681,-49.2208,70.95,55,0,3.47,clear sky
275,Oranjestad,AW,12.524,-70.027,80.37,87,100,27.04,overcast clouds
276,Deputatskiy,RU,69.3,139.9,32.29,99,100,7.31,overcast clouds
277,Nerchinsk,RU,51.9833,116.5833,34.05,94,100,3.65,overcast clouds
278,Trinidad,BO,-14.8333,-64.9,81.21,69,0,0.85,clear sky
279,Baykit,RU,61.67,96.37,34.41,97,78,0.74,broken clouds
280,Khatanga,RU,71.9667,102.5,8.42,94,12,10.29,few clouds
281,Nichinan,JP,31.6,131.3667,70.05,96,100,2.24,overcast clouds
282,Maceio,BR,-9.6658,-35.7353,80.04,83,75,5.75,broken clouds
283,Tabas,IR,33.5959,56.9244,77.2,15,0,8.93,clear sky
284,San Lawrenz,MT,36.0553,14.204,64.85,74,0,3.38,clear sky
285,Shakawe,BW,-18.3667,21.85,60.75,29,0,2.1,clear sky
286,Hecun,CN,36.5333,114.1111,49.91,80,65,4.45,broken clouds
287,Kupang,ID,-10.1667,123.5833,76.24,86,44,1.77,scattered clouds
288,Kodiak,US,57.79,-152.4072,45.97,67,33,5.66,scattered clouds
289,Araouane,ML,18.9048,-3.5265,91.08,8,11,11.59,few clouds
290,Yakeshi,CN,49.2833,120.7333,29.12,60,11,3.04,few clouds
291,Tapes,BR,-30.6733,-51.3958,58.8,75,2,6.35,clear sky
292,Haines Junction,CA,60.7522,-137.5108,40.48,78,89,3.0,overcast clouds
293,Crib Point,AU,-38.35,145.2,59.9,96,60,1.59,broken clouds
294,Kavaratti,IN,10.5669,72.642,84.36,69,100,8.86,overcast clouds
295,Novovarshavka,RU,54.1721,74.6946,57.49,48,66,0.83,broken clouds
296,Kuching,MY,1.55,110.3333,75.42,100,40,2.3,scattered clouds
297,Derzhavinsk,KZ,51.1,66.3167,56.71,37,98,7.67,overcast clouds
298,Manzil Salim,TN,35.8567,8.4765,65.77,34,0,6.29,clear sky
299,Milkovo,RU,54.7167,158.6167,40.08,91,100,1.5,overcast clouds
300,Tuatapere,NZ,-46.1333,167.6833,49.44,83,100,4.21,overcast clouds
